* Measurement data measured by REW V5.19
* Source: D:\Downloads\Toole.csv
* Format: Comma/Tab/Space delimited data
* Dated: Oct 1, 2020 8:33:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Downloads\Toole.csv Format: Comma/Tab/Space delimited data 248 values loaded, 21 Hz to 19,356 Hz
* Measurement: Toole.csv
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.616 3.613 0
20.866 3.614 0
21.116 3.614 0
21.366 3.612 0
21.616 3.608 0
21.866 3.605 0
22.116 3.603 0
22.366 3.600 0
22.616 3.596 0
22.866 3.592 0
23.116 3.589 0
23.366 3.587 0
23.616 3.586 0
23.866 3.586 0
24.116 3.586 0
24.366 3.586 0
24.616 3.586 0
24.866 3.586 0
25.116 3.586 0
25.366 3.586 0
25.616 3.586 0
25.866 3.585 0
26.116 3.584 0
26.366 3.582 0
26.616 3.579 0
26.866 3.576 0
27.116 3.573 0
27.366 3.570 0
27.616 3.567 0
27.866 3.564 0
28.116 3.562 0
28.366 3.560 0
28.616 3.559 0
28.866 3.558 0
29.116 3.558 0
29.366 3.558 0
29.616 3.558 0
29.866 3.558 0
30.116 3.558 0
30.366 3.558 0
30.616 3.558 0
30.866 3.557 0
31.116 3.556 0
31.366 3.554 0
31.616 3.551 0
31.866 3.548 0
32.116 3.544 0
32.366 3.542 0
32.616 3.539 0
32.866 3.537 0
33.116 3.535 0
33.366 3.533 0
33.616 3.532 0
33.866 3.531 0
34.116 3.530 0
34.366 3.530 0
34.616 3.530 0
34.866 3.530 0
35.116 3.531 0
35.366 3.531 0
35.616 3.531 0
35.866 3.530 0
36.116 3.530 0
36.366 3.530 0
36.616 3.529 0
36.866 3.528 0
37.116 3.526 0
37.366 3.523 0
37.616 3.520 0
37.866 3.518 0
38.116 3.515 0
38.366 3.513 0
38.616 3.511 0
38.866 3.509 0
39.116 3.507 0
39.366 3.506 0
39.616 3.505 0
39.866 3.504 0
40.116 3.503 0
40.366 3.503 0
40.616 3.502 0
40.866 3.503 0
41.116 3.503 0
41.366 3.503 0
41.616 3.503 0
41.866 3.503 0
42.116 3.503 0
42.366 3.503 0
42.616 3.503 0
42.866 3.502 0
43.116 3.502 0
43.366 3.501 0
43.616 3.500 0
43.866 3.498 0
44.116 3.496 0
44.366 3.494 0
44.616 3.491 0
44.866 3.488 0
45.116 3.486 0
45.366 3.483 0
45.616 3.480 0
45.866 3.478 0
46.116 3.476 0
46.366 3.476 0
