* Measurement data measured by REW V5.19
* Source: D:\Downloads\rtings Target.csv
* Format: Comma/Tab/Space delimited data
* Dated: Oct 3, 2020 1:51:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Downloads\rtings Target.csv Format: Comma/Tab/Space delimited data 170 values loaded, 20 Hz to 19,779 Hz
* Measurement: rtings Target.csv
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.107 85.977 0
20.357 85.972 0
20.607 85.965 0
20.857 85.958 0
21.107 85.953 0
21.357 85.950 0
21.607 85.945 0
21.857 85.939 0
22.107 85.933 0
22.357 85.927 0
22.607 85.921 0
22.857 85.915 0
23.107 85.909 0
23.357 85.902 0
23.607 85.896 0
23.857 85.890 0
24.107 85.884 0
24.357 85.880 0
24.607 85.878 0
24.857 85.871 0
25.107 85.865 0
25.357 85.858 0
25.607 85.852 0
25.857 85.845 0
26.107 85.838 0
26.357 85.831 0
26.607 85.825 0
26.857 85.820 0
27.107 85.816 0
27.357 85.810 0
27.607 85.802 0
27.857 85.795 0
28.107 85.791 0
28.357 85.788 0
28.607 85.784 0
28.857 85.781 0
29.107 85.778 0
29.357 85.775 0
29.607 85.771 0
29.857 85.768 0
30.107 85.764 0
30.357 85.759 0
30.607 85.755 0
30.857 85.747 0
31.107 85.735 0
31.357 85.721 0
31.607 85.712 0
31.857 85.705 0
32.107 85.698 0
32.357 85.692 0
32.607 85.685 0
32.857 85.678 0
33.107 85.671 0
33.357 85.665 0
33.607 85.658 0
33.857 85.652 0
34.107 85.645 0
34.357 85.639 0
34.607 85.632 0
34.857 85.626 0
35.107 85.620 0
35.357 85.614 0
35.607 85.609 0
35.857 85.605 0
36.107 85.601 0
36.357 85.595 0
36.607 85.589 0
36.857 85.582 0
37.107 85.577 0
37.357 85.571 0
37.607 85.565 0
37.857 85.559 0
38.107 85.553 0
38.357 85.547 0
38.607 85.541 0
38.857 85.535 0
39.107 85.529 0
39.357 85.523 0
39.607 85.517 0
39.857 85.511 0
40.107 85.505 0
40.357 85.499 0
40.607 85.493 0
40.857 85.487 0
41.107 85.481 0
41.357 85.475 0
41.607 85.469 0
41.857 85.463 0
42.107 85.457 0
42.357 85.451 0
42.607 85.445 0
42.857 85.440 0
43.107 85.435 0
43.357 85.429 0
43.607 85.422 0
43.857 85.415 0
44.107 85.408 0
44.357 85.401 0
44.607 85.395 0
44.857 85.388 0
45.107 85.381 0
45.357 85.374 0
45.607 85.368 0
45.857 85.361 0
46.107 85.354 0
46.357 85.347 0
46.607 85.341 0
46.857 85.334 0
47.107 85.328 0
47.357 85.323 0
47.607 85.318 0
47.857 85.313 0
48.107 85.307 0
48.357 85.300 0
48.607 85.294 0
48.857 85.288 0
49.107 85.284 0
49.357 85.281 0
49.607 85.276 0
49.857 85.271 0
50.107 85.265 0
50.357 85.258 0
50.607 85.252 0
50.857 85.245 0
51.107 85.238 0
51.357 85.232 0
51.607 85.225 0
51.857 85.218 0
52.107 85.211 0
52.357 85.204 0
52.607 85.198 0
52.857 85.191 0
53.107 85.184 0
53.357 85.177 0
53.607 85.170 0
53.857 85.163 0
54.107 85.156 0
54.357 85.149 0
54.607 85.142 0
54.857 85.136 0
55.107 85.129 0
55.357 85.122 0
55.607 85.116 0
55.857 85.109 0
56.107 85.103 0
56.357 85.096 0
56.607 85.090 0
56.857 85.083 0
57.107 85.076 0
57.357 85.069 0
57.607 85.062 0
57.857 85.055 0
58.107 85.048 0
58.357 85.041 0
58.607 85.034 0
58.857 85.027 0
59.107 85.020 0
59.357 85.012 0
59.607 85.005 0
59.857 84.998 0
60.107 84.991 0
60.357 84.984 0
60.607 84.977 0
60.857 84.969 0
61.107 84.962 0
61.357 84.955 0
61.607 84.948 0
61.857 84.941 0
62.107 84.934 0
62.357 84.927 0
62.607 84.919 0
62.857 84.912 0
63.107 84.905 0
63.357 84.897 0
63.607 84.889 0
63.857 84.881 0
64.107 84.872 0
64.357 84.864 0
64.607 84.856 0
64.857 84.847 0
65.107 84.839 0
65.357 84.831 0
65.607 84.823 0
65.857 84.814 0
66.107 84.806 0
66.357 84.798 0
66.607 84.789 0
66.857 84.781 0
67.107 84.773 0
67.357 84.765 0
67.607 84.757 0
67.857 84.748 0
68.107 84.740 0
68.357 84.732 0
68.607 84.724 0
68.857 84.716 0
69.107 84.707 0
69.357 84.699 0
69.607 84.691 0
69.857 84.683 0
70.107 84.675 0
70.357 84.667 0
70.607 84.659 0
70.857 84.651 0
71.107 84.643 0
71.357 84.635 0
71.607 84.628 0
71.857 84.621 0
72.107 84.614 0
72.357 84.607 0
72.607 84.600 0
72.857 84.593 0
73.107 84.585 0
73.357 84.576 0
73.607 84.568 0
73.857 84.560 0
74.107 84.551 0
74.357 84.543 0
74.607 84.536 0
74.857 84.528 0
75.107 84.521 0
75.357 84.513 0
75.607 84.505 0
75.857 84.496 0
76.107 84.486 0
76.357 84.477 0
76.607 84.468 0
76.857 84.458 0
77.107 84.449 0
77.357 84.439 0
77.607 84.430 0
77.857 84.421 0
78.107 84.411 0
78.357 84.402 0
78.607 84.392 0
78.857 84.383 0
79.107 84.373 0
79.357 84.364 0
79.607 84.355 0
79.857 84.345 0
80.107 84.336 0
80.357 84.327 0
80.607 84.317 0
80.857 84.308 0
81.107 84.299 0
81.357 84.290 0
81.607 84.280 0
81.857 84.273 0
82.107 84.266 0
82.357 84.260 0
82.607 84.253 0
82.857 84.246 0
83.107 84.239 0
83.357 84.229 0
83.607 84.220 0
83.857 84.210 0
84.107 84.200 0
84.357 84.189 0
84.607 84.179 0
84.857 84.169 0
85.107 84.159 0
85.357 84.148 0
85.607 84.138 0
85.857 84.128 0
86.107 84.117 0
86.357 84.107 0
86.607 84.097 0
86.857 84.088 0
87.107 84.078 0
87.357 84.068 0
87.607 84.058 0
87.857 84.048 0
88.107 84.039 0
88.357 84.029 0
88.607 84.019 0
88.857 84.009 0
89.107 84.000 0
89.357 83.990 0
89.607 83.980 0
89.857 83.971 0
90.107 83.961 0
90.357 83.952 0
90.607 83.942 0
90.857 83.933 0
91.107 83.923 0
91.357 83.914 0
91.607 83.904 0
91.857 83.895 0
92.107 83.885 0
92.357 83.876 0
92.607 83.867 0
92.857 83.857 0
93.107 83.848 0
93.357 83.839 0
93.607 83.830 0
93.857 83.822 0
94.107 83.813 0
94.357 83.805 0
94.607 83.796 0
94.857 83.788 0
95.107 83.780 0
95.357 83.772 0
95.607 83.764 0
95.857 83.756 0
96.107 83.747 0
96.357 83.739 0
96.607 83.732 0
96.857 83.724 0
97.107 83.716 0
97.357 83.708 0
97.607 83.700 0
97.857 83.692 0
98.107 83.684 0
98.357 83.675 0
98.607 83.667 0
98.857 83.658 0
99.107 83.650 0
99.357 83.640 0
99.607 83.631 0
99.857 83.621 0
100.107 83.612 0
100.357 83.602 0
100.607 83.593 0
100.857 83.584 0
101.107 83.574 0
101.357 83.565 0
101.607 83.555 0
101.857 83.546 0
102.107 83.536 0
102.357 83.526 0
102.607 83.517 0
102.857 83.507 0
103.107 83.498 0
103.357 83.488 0
103.607 83.479 0
103.857 83.469 0
104.107 83.460 0
104.357 83.450 0
104.607 83.441 0
104.857 83.431 0
105.107 83.422 0
105.357 83.412 0
105.607 83.403 0
105.857 83.393 0
106.107 83.384 0
106.357 83.374 0
106.607 83.365 0
106.857 83.356 0
107.107 83.346 0
107.357 83.337 0
107.607 83.328 0
107.857 83.318 0
108.107 83.309 0
108.357 83.300 0
108.607 83.291 0
108.857 83.282 0
109.107 83.273 0
109.357 83.265 0
109.607 83.256 0
109.857 83.247 0
110.107 83.238 0
110.357 83.229 0
110.607 83.220 0
110.857 83.211 0
111.107 83.202 0
111.357 83.194 0
111.607 83.185 0
111.857 83.176 0
112.107 83.167 0
112.357 83.158 0
112.607 83.149 0
112.857 83.140 0
113.107 83.131 0
113.357 83.122 0
113.607 83.113 0
113.857 83.104 0
114.107 83.095 0
114.357 83.086 0
114.607 83.077 0
114.857 83.068 0
115.107 83.059 0
115.357 83.050 0
115.607 83.041 0
115.857 83.032 0
116.107 83.023 0
116.357 83.014 0
116.607 83.005 0
116.857 82.996 0
117.107 82.987 0
117.357 82.978 0
117.607 82.969 0
117.857 82.960 0
118.107 82.952 0
118.357 82.943 0
118.607 82.934 0
118.857 82.925 0
119.107 82.916 0
119.357 82.907 0
119.607 82.898 0
119.857 82.889 0
120.107 82.880 0
120.357 82.871 0
120.607 82.863 0
120.857 82.854 0
121.107 82.845 0
121.357 82.836 0
121.607 82.827 0
121.857 82.819 0
122.107 82.811 0
122.357 82.803 0
122.607 82.795 0
122.857 82.787 0
123.107 82.779 0
123.357 82.771 0
123.607 82.764 0
123.857 82.756 0
124.107 82.748 0
124.357 82.741 0
124.607 82.732 0
124.857 82.724 0
125.107 82.715 0
125.357 82.707 0
125.607 82.699 0
125.857 82.690 0
126.107 82.682 0
126.357 82.674 0
126.607 82.666 0
126.857 82.658 0
127.107 82.650 0
127.357 82.643 0
127.607 82.637 0
127.857 82.630 0
128.107 82.624 0
128.357 82.617 0
128.607 82.611 0
128.857 82.604 0
129.107 82.597 0
129.357 82.589 0
129.607 82.581 0
129.857 82.573 0
130.107 82.565 0
130.357 82.557 0
130.607 82.548 0
130.857 82.540 0
131.107 82.532 0
131.357 82.524 0
131.607 82.516 0
131.857 82.508 0
132.107 82.499 0
132.357 82.491 0
132.607 82.483 0
132.857 82.475 0
133.107 82.467 0
133.357 82.458 0
133.607 82.450 0
133.857 82.442 0
134.107 82.434 0
134.357 82.426 0
134.607 82.417 0
134.857 82.409 0
135.107 82.401 0
135.357 82.393 0
135.607 82.384 0
135.857 82.376 0
136.107 82.368 0
136.357 82.360 0
136.607 82.352 0
136.857 82.343 0
137.107 82.335 0
137.357 82.327 0
137.607 82.319 0
137.857 82.310 0
138.107 82.302 0
138.357 82.294 0
138.607 82.286 0
138.857 82.278 0
139.107 82.269 0
139.357 82.261 0
139.607 82.253 0
139.857 82.245 0
140.107 82.237 0
140.357 82.228 0
140.607 82.220 0
140.857 82.212 0
141.107 82.204 0
141.357 82.196 0
141.607 82.188 0
141.857 82.179 0
142.107 82.171 0
142.357 82.163 0
142.607 82.155 0
142.857 82.147 0
143.107 82.140 0
143.357 82.132 0
143.607 82.125 0
143.857 82.118 0
144.107 82.111 0
144.357 82.104 0
144.607 82.097 0
144.857 82.090 0
145.107 82.083 0
145.357 82.076 0
145.607 82.070 0
145.857 82.063 0
146.107 82.056 0
146.357 82.049 0
146.607 82.042 0
146.857 82.034 0
147.107 82.027 0
147.357 82.020 0
147.607 82.013 0
147.857 82.006 0
148.107 81.999 0
148.357 81.992 0
148.607 81.985 0
148.857 81.978 0
149.107 81.971 0
149.357 81.964 0
149.607 81.957 0
149.857 81.950 0
150.107 81.943 0
150.357 81.935 0
150.607 81.928 0
150.857 81.921 0
151.107 81.914 0
151.357 81.907 0
151.607 81.900 0
151.857 81.893 0
152.107 81.886 0
152.357 81.879 0
152.607 81.872 0
152.857 81.865 0
153.107 81.858 0
153.357 81.851 0
153.607 81.844 0
153.857 81.837 0
154.107 81.830 0
154.357 81.823 0
154.607 81.816 0
154.857 81.809 0
155.107 81.802 0
155.357 81.795 0
155.607 81.788 0
155.857 81.782 0
156.107 81.775 0
156.357 81.768 0
156.607 81.761 0
156.857 81.754 0
157.107 81.747 0
157.357 81.740 0
157.607 81.733 0
157.857 81.726 0
158.107 81.719 0
158.357 81.713 0
158.607 81.707 0
158.857 81.701 0
159.107 81.695 0
159.357 81.690 0
159.607 81.685 0
159.857 81.679 0
160.107 81.674 0
160.357 81.669 0
160.607 81.663 0
160.857 81.657 0
161.107 81.651 0
161.357 81.644 0
161.607 81.638 0
161.857 81.631 0
162.107 81.625 0
162.357 81.618 0
162.607 81.612 0
162.857 81.605 0
163.107 81.599 0
163.357 81.593 0
163.607 81.586 0
163.857 81.580 0
164.107 81.573 0
164.357 81.567 0
164.607 81.561 0
164.857 81.554 0
165.107 81.548 0
165.357 81.542 0
165.607 81.535 0
165.857 81.529 0
166.107 81.523 0
